Director,Nombre,Nota media,Total de películas,Productora habitual,Beneficio total,Mejor filme,Nota
![](https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Richard_Curtis_MFF_2016.jpg/220px-Richard_Curtis_MFF_2016.jpg),Richard Curtis,7.6,3,Universal Pictures,266652400,About Time,7.8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/David_Gordon_Green_by_Gage_Skidmore.jpg/220px-David_Gordon_Green_by_Gage_Skidmore.jpg),David Gordon Green,6.357142857142858,7,Blumhouse Productions,265758464,Pineapple Express,6.9
![](https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Jean-Pierre_Jeunet_M%C3%BCnchen_2014_%28cropped%29.JPG/220px-Jean-Pierre_Jeunet_M%C3%BCnchen_2014_%28cropped%29.JPG),Jean-Pierre Jeunet,7.366666666666667,3,2003 Productions,263197566,Amélie,8.3
![](NA),Kirk Jones,6.56,5,Gold Circle Films,262994509,Waking Ned Devine,7.4
![](NA),John Badham,6.1625,8,Paramount Pictures,260821010,Short Circuit,6.7
![](https://upload.wikimedia.org/wikipedia/commons/1/10/Wilson_Yip_at_premiere_of_Killzone.jpg),Wilson Yip,7.2,3,Golden Harvest Company,260465032,Ip Man 2,7.5
![](https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Florian_Henckel_von_Donnersmarck.jpg/220px-Florian_Henckel_von_Donnersmarck.jpg),Florian Henckel von Donnersmarck,7.366666666666667,3,GK Films,260330617,The Lives of Others,8.4
![](https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Gary_Winick_2002.jpg/220px-Gary_Winick_2002.jpg),Gary Winick,6.125,4,Fox 2000 Pictures,258424199,Letters to Juliet,6.5
![](https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Penny_Marshall_1976.jpg/220px-Penny_Marshall_1976.jpg),Penny Marshall,6.6571428571428575,7,Columbia Pictures,257486353,Awakenings,7.8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Gus_Van_Sant-1345.jpg/220px-Gus_Van_Sant-1345.jpg),Gus Van Sant,6.730769230769231,13,Columbia Pictures,254569455,Good Will Hunting,8.3
![](https://upload.wikimedia.org/wikipedia/en/thumb/1/16/John_G_Avildsen.jpg/220px-John_G_Avildsen.jpg),John G. Avildsen,6.025,4,Columbia Pictures,253913079,Lean on Me,7.4
![](NA),Joseph Ruben,6.316666666666666,6,Twentieth Century Fox,253465784,Return to Paradise,6.9
![](https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Thor_Freudenthal_2013_%28lfopX1ff72w%29.jpg/220px-Thor_Freudenthal_2013_%28lfopX1ff72w%29.jpg),Thor Freudenthal,5.8,3,Color Force,253299431,Diary of a Wimpy Kid,6.2
![](NA),John Pasquin,5.6,3,Walt Disney Pictures,252860544,The Santa Clause,6.5
![](https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/EliRothIBAug09.jpg/220px-EliRothIBAug09.jpg),Eli Roth,5.6571428571428575,7,Black Bear Pictures,251580758,Death Wish,6.3
![](https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Stephen_Frears_OIFF_2014-07-12_113913_%28cropped%29.jpg/220px-Stephen_Frears_OIFF_2014-07-12_113913_%28cropped%29.jpg),Stephen Frears,6.728571428571429,14,BBC Films,251249571,Dangerous Liaisons,7.6
![](https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Kenny_Ortega_2019_Disney_Legends_Awards_Ceremony_D23_EXPO_2019_%2851441245259%29_%28cropped%29.jpg/220px-Kenny_Ortega_2019_Disney_Legends_Awards_Ceremony_D23_EXPO_2019_%2851441245259%29_%28cropped%29.jpg),Kenny Ortega,6.233333333333333,3,Walt Disney Pictures,246676367,Newsies,6.9
![](https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Alexandre_Aja_%2817493159043%29_%28cropped%29.jpg/220px-Alexandre_Aja_%2817493159043%29_%28cropped%29.jpg),Alexandre Aja,6.216666666666667,6,Alexandre Films,245501684,High Tension,6.8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Bruce_Beresford_2016_%281GEfTW9wxpc%29.jpg/220px-Bruce_Beresford_2016_%281GEfTW9wxpc%29.jpg),Bruce Beresford,7.2,3,Cinelou Films,238820634,Mr. Church,7.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Tony_Gilroy_%287732161230%29.jpg/220px-Tony_Gilroy_%287732161230%29.jpg),Tony Gilroy,6.666666666666667,3,Universal Pictures,237312766,Michael Clayton,7.2
![](NA),Luis Llosa,5.5,3,Baltimore Pictures,236243002,Sniper,6.1
![](https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Frank_Darabont_at_the_PaleyFest_2011_-_The_Walking_Dead_panel.jpg/220px-Frank_Darabont_at_the_PaleyFest_2011_-_The_Walking_Dead_panel.jpg),Frank Darabont,7.975,4,Castle Rock Entertainment,235406558,The Shawshank Redemption,9.3
![](NA),John Hughes,6.942857142857143,7,Paramount Pictures,235191272,The Breakfast Club,7.8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Ben_Affleck_by_Gage_Skidmore_3.jpg/220px-Ben_Affleck_by_Gage_Skidmore_3.jpg),Ben Affleck,7.3,4,Warner Bros.,235142637,Argo,7.7
![](NA),James Wong,5.225,4,New Line Cinema,234497029,Final Destination,6.7
![](NA),Steve Miner,5.95,6,New World Pictures,231886979,Forever Young,6.3
![](https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Takashi_Shimizu_cropped.jpg/220px-Takashi_Shimizu_cropped.jpg),Takashi Shimizu,5.9,3,Columbia Pictures,228150166,Ju-on: The Grudge,6.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Pierre-Morel-Taken.JPG/220px-Pierre-Morel-Taken.JPG),Pierre Morel,6.72,5,EuropaCorp,226947502,Taken,7.8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Amenabar_%2822022306905%29_%28cropped%29.jpg/220px-Amenabar_%2822022306905%29_%28cropped%29.jpg),Alejandro Amenábar,7.24,5,Mod Producciones,224185068,The Sea Inside,8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Fede_Alvarez_by_Gage_Skidmore.jpg/220px-Fede_Alvarez_by_Gage_Skidmore.jpg),Fede Alvarez,6.566666666666666,3,Columbia Pictures,220638359,Don't Breathe,7.1
![](NA),Dominic Sena,6.12,5,Atlas Entertainment,220281838,Kalifornia,6.7
![](NA),Frank Marshall,6.5,4,Film Andes S.A.,218420184,Eight Below,7.3
![](https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Steve-McQueen-1968_%28cropped%29.jpg/220px-Steve-McQueen-1968_%28cropped%29.jpg),Steve McQueen,7.425,4,New Regency Productions,217526782,12 Years a Slave,8.1
![](https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/GregMottolaJuly09.jpg/220px-GregMottolaJuly09.jpg),Greg Mottola,6.825,4,Columbia Pictures,215880106,Superbad,7.6
![](https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Jameslbrooks.jpg/220px-Jameslbrooks.jpg),James L. Brooks,6.675000000000001,4,Columbia Pictures,215648381,As Good as It Gets,7.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Ken_Kwapis_2008.jpg/220px-Ken_Kwapis_2008.jpg),Ken Kwapis,6.083333333333334,6,Alcon Entertainment,215133761,The Sisterhood of the Traveling Pants,6.5
![](NA),Dean Parisot,6.7,3,Columbia Pictures,214441380,Galaxy Quest,7.3
![](NA),Gregory Hoblit,6.95,6,New Line Cinema,207186835,Primal Fear,7.7
![](NA),Herbert Ross,6.65,4,Alcor Films,206788051,Steel Magnolias,7.3
![](https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Don_Bluth_Photo_Op_GalaxyCon_Raleigh_2023.jpg/220px-Don_Bluth_Photo_Op_GalaxyCon_Raleigh_2023.jpg),Don Bluth,6.883333333333334,6,David Kirschner Productions,204735358,The Land Before Time,7.4
![](https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/HughesbrothersCCJuly09.jpg/220px-HughesbrothersCCJuly09.jpg),Albert Hughes,6.96,5,Alcon Entertainment,202428317,Menace II Society,7.5
![](https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Glenn_Ficarra_%286146978302%29.jpg/220px-Glenn_Ficarra_%286146978302%29.jpg),Glenn Ficarra,6.8,4,Broadway Video,201455205,"Crazy, Stupid, Love.",7.4
![](https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Jesse_Dylan_2010_%28cropped%29.jpg/220px-Jesse_Dylan_2010_%28cropped%29.jpg),Jesse Dylan,6.066666666666666,3,Universal Pictures,200077108,How High,6.3
![](NA),Jason Friedberg,2.625,4,New Regency Productions,198500441,Vampires Suck,3.4
![](https://upload.wikimedia.org/wikipedia/en/thumb/e/e9/Rod_Daniel.jpg/220px-Rod_Daniel.jpg),Rod Daniel,5.666666666666667,3,Atlantic Entertainment Group,197577324,Teen Wolf,6.1
![](NA),Mark Steven Johnson,5.775,4,Columbia Pictures,196224902,Simon Birch,6.9
![](NA),Luke Greenfield,5.95,4,Alcon Entertainment,194898176,The Girl Next Door,6.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Lee_daniels_empire_carpet.jpg/220px-Lee_daniels_empire_carpet.jpg),Lee Daniels,6.766666666666667,3,Follow Through Productions,192247189,Precious,7.3
![](https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Neil_Jordan_by_David_Shankbone.jpg/220px-Neil_Jordan_by_David_Shankbone.jpg),Neil Jordan,6.766666666666667,12,Warner Bros.,191545175,Interview with the Vampire: the Vampire Chronicles,7.5
![](https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Tyler_Perry_Interview_2016.jpg/220px-Tyler_Perry_Interview_2016.jpg),Tyler Perry,5.233333333333333,3,Lions Gate Films,188740161,Tyler Perry's Why Did I Get Married?,5.9
![](https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Josh_Gordon_2019.png/220px-Josh_Gordon_2019.png),Josh Gordon,6.1,3,DreamWorks,185054657,Blades of Glory,6.3
![](NA),Steven Brill,5.883333333333333,6,Paramount Pictures,184347512,Heavyweights,6.6
